75, 130
180, 220
350, 450
125, 300
290, 180
400, 350
520, 100
90, 370
160, 500
250, 50
180, 150
420, 550
530, 350
300, 420
100, 550
250, 250
380, 280
450, 130
550, 500
500, 180
550, 200
470, 420
320, 390
250, 470
410, 100
300, 540
200, 90
370, 200
450, 300
530, 450
200, 220
250, 350
300, 480
350, 180
100, 500
150, 100
470, 270
330, 540
450, 180
500, 400
120, 400
550, 380
200, 500
150, 350
200, 150
100, 100
320, 240
550, 350
400, 280
180, 500
290, 230
450, 220
300, 150
500, 250
400, 400
250, 400
350, 150
550, 150
300, 200
500, 300
150, 500
